Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
India,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
India,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
India,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
India,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
India,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
India,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
India,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
India,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
India,,,,,0,0,1,0,0,1,2020-01-30T00:00:00Z
India,,,,,0,0,1,0,0,1,2020-01-31T00:00:00Z
India,,,,,0,0,1,0,0,1,2020-02-01T00:00:00Z
India,,,,,0,0,2,0,0,2,2020-02-02T00:00:00Z
India,,,,,0,0,3,0,0,3,2020-02-03T00:00:00Z
India,,,,,0,0,3,0,0,3,2020-02-04T00:00:00Z
India,,,,,0,0,3,0,0,3,2020-02-05T00:00:00Z
India,,,,,0,0,3,0,0,3,2020-02-06T00:00:00Z
India,,,,,0,0,3,0,0,3,2020-02-07T00:00:00Z
India,,,,,0,0,3,0,0,3,2020-02-08T00:00:00Z
India,,,,,0,0,3,0,0,3,2020-02-09T00:00:00Z
India,,,,,0,0,3,0,0,3,2020-02-10T00:00:00Z
India,,,,,0,0,3,0,0,3,2020-02-11T00:00:00Z
India,,,,,0,0,3,0,0,3,2020-02-12T00:00:00Z
India,,,,,0,0,3,0,0,3,2020-02-13T00:00:00Z
India,,,,,0,0,3,0,0,3,2020-02-14T00:00:00Z
India,,,,,0,0,3,0,0,3,2020-02-15T00:00:00Z
India,,,,,0,0,3,0,3,0,2020-02-16T00:00:00Z
India,,,,,0,0,3,0,3,0,2020-02-17T00:00:00Z
India,,,,,0,0,3,0,3,0,2020-02-18T00:00:00Z
India,,,,,0,0,3,0,3,0,2020-02-19T00:00:00Z
India,,,,,0,0,3,0,3,0,2020-02-20T00:00:00Z
India,,,,,0,0,3,0,3,0,2020-02-21T00:00:00Z
India,,,,,0,0,3,0,3,0,2020-02-22T00:00:00Z
India,,,,,0,0,3,0,3,0,2020-02-23T00:00:00Z
India,,,,,0,0,3,0,3,0,2020-02-24T00:00:00Z
India,,,,,0,0,3,0,3,0,2020-02-25T00:00:00Z
India,,,,,0,0,3,0,3,0,2020-02-26T00:00:00Z
India,,,,,0,0,3,0,3,0,2020-02-27T00:00:00Z
India,,,,,0,0,3,0,3,0,2020-02-28T00:00:00Z
India,,,,,0,0,3,0,3,0,2020-02-29T00:00:00Z
India,,,,,0,0,3,0,3,0,2020-03-01T00:00:00Z
India,,,,,0,0,5,0,3,2,2020-03-02T00:00:00Z
India,,,,,0,0,5,0,3,2,2020-03-03T00:00:00Z
India,,,,,0,0,28,0,3,25,2020-03-04T00:00:00Z
India,,,,,0,0,30,0,3,27,2020-03-05T00:00:00Z
India,,,,,0,0,31,0,3,28,2020-03-06T00:00:00Z
India,,,,,0,0,34,0,3,31,2020-03-07T00:00:00Z
India,,,,,0,0,39,0,3,36,2020-03-08T00:00:00Z
India,,,,,0,0,43,0,3,40,2020-03-09T00:00:00Z
India,,,,,0,0,56,0,4,52,2020-03-10T00:00:00Z
India,,,,,0,0,62,1,4,57,2020-03-11T00:00:00Z
India,,,,,0,0,73,1,4,68,2020-03-12T00:00:00Z
India,,,,,0,0,82,2,4,76,2020-03-13T00:00:00Z
India,,,,,0,0,102,2,4,96,2020-03-14T00:00:00Z
India,,,,,0,0,113,2,13,98,2020-03-15T00:00:00Z
India,,,,,0,0,119,2,13,104,2020-03-16T00:00:00Z
India,,,,,0,0,142,3,14,125,2020-03-17T00:00:00Z
India,,,,,0,0,156,3,14,139,2020-03-18T00:00:00Z
India,,,,,0,0,194,4,15,175,2020-03-19T00:00:00Z
India,,,,,0,0,244,5,20,219,2020-03-20T00:00:00Z
India,,,,,0,0,330,4,23,303,2020-03-21T00:00:00Z
India,,,,,0,0,396,7,27,362,2020-03-22T00:00:00Z
India,,,,,0,0,499,10,27,462,2020-03-23T00:00:00Z
India,,,,,0,0,536,10,40,486,2020-03-24T00:00:00Z
India,,,,,0,0,657,12,43,602,2020-03-25T00:00:00Z
India,,,,,0,0,727,20,45,662,2020-03-26T00:00:00Z
India,,,,,0,0,887,20,73,794,2020-03-27T00:00:00Z
India,,,,,0,0,987,24,84,879,2020-03-28T00:00:00Z
India,,,,,0,0,1024,27,95,902,2020-03-29T00:00:00Z
India,,,,,0,0,1251,32,102,1117,2020-03-30T00:00:00Z
India,,,,,0,0,1397,35,123,1239,2020-03-31T00:00:00Z
India,,,,,0,0,1998,58,148,1792,2020-04-01T00:00:00Z
India,,,,,0,0,2543,72,191,2280,2020-04-02T00:00:00Z
India,,,,,0,0,2567,72,192,2303,2020-04-03T00:00:00Z
India,,,,,0,0,3082,86,229,2767,2020-04-04T00:00:00Z
India,,,,,0,0,3588,99,229,3260,2020-04-05T00:00:00Z
India,,,,,0,0,4778,136,375,4267,2020-04-06T00:00:00Z
India,,,,,0,0,5311,150,421,4740,2020-04-07T00:00:00Z
India,,,,,0,0,5916,178,506,5232,2020-04-08T00:00:00Z
India,,,,,0,0,6725,226,620,5879,2020-04-09T00:00:00Z
India,,,,,0,0,7598,246,774,6578,2020-04-10T00:00:00Z
India,,,,,0,0,8446,288,969,7189,2020-04-11T00:00:00Z
India,,,,,0,0,9205,331,1080,7794,2020-04-12T00:00:00Z
India,,,,,0,0,10453,358,1181,8914,2020-04-13T00:00:00Z
India,,,,,0,0,11487,393,1359,9735,2020-04-14T00:00:00Z
India,,,,,0,0,12322,405,1432,10485,2020-04-15T00:00:00Z
India,,,,,0,0,13430,448,1768,11214,2020-04-16T00:00:00Z
India,,,,,0,0,14352,486,2041,11825,2020-04-17T00:00:00Z
India,,,,,0,0,15722,521,2463,12738,2020-04-18T00:00:00Z
India,,,,,0,0,17615,559,2854,14202,2020-04-19T00:00:00Z
India,,,,,0,0,18539,592,3273,14674,2020-04-20T00:00:00Z
India,,,,,0,0,20080,645,3975,15460,2020-04-21T00:00:00Z
India,,,,,0,0,21370,681,4370,16319,2020-04-22T00:00:00Z
India,,,,,0,0,23077,721,5012,17344,2020-04-23T00:00:00Z
India,,,,,0,0,24530,780,5498,18252,2020-04-24T00:00:00Z
India,,,,,0,0,26283,825,5939,19519,2020-04-25T00:00:00Z
India,,,,,0,0,27890,881,6523,20486,2020-04-26T00:00:00Z
India,,,,,0,0,29451,939,7137,21375,2020-04-27T00:00:00Z
India,,,,,0,0,31324,1008,7747,22569,2020-04-28T00:00:00Z
India,,,,,0,0,33062,1079,8437,23546,2020-04-29T00:00:00Z
India,,,,,0,0,34863,1154,9068,24641,2020-04-30T00:00:00Z
India,,,,,0,0,37257,1223,10007,26027,2020-05-01T00:00:00Z
India,,,,,0,0,39699,1323,10819,27557,2020-05-02T00:00:00Z
India,,,,,0,0,42505,1391,11775,29339,2020-05-03T00:00:00Z
India,,,,,0,0,46437,1566,12847,32024,2020-05-04T00:00:00Z
India,,,,,0,0,49400,1693,14142,33565,2020-05-05T00:00:00Z
India,,,,,0,0,52987,1785,15331,35871,2020-05-06T00:00:00Z
India,,,,,0,0,56351,1889,16776,37686,2020-05-07T00:00:00Z
India,,,,,0,0,59695,1985,17887,39823,2020-05-08T00:00:00Z
India,,,,,0,0,62808,2101,19301,41406,2020-05-09T00:00:00Z
India,,,,,0,0,67161,2212,20969,43980,2020-05-10T00:00:00Z
India,,,,,0,0,70768,2294,22549,45925,2020-05-11T00:00:00Z
India,,,,,0,0,74292,2415,24420,47457,2020-05-12T00:00:00Z
India,,,,,0,0,78055,2551,26400,49104,2020-05-13T00:00:00Z
India,,,,,0,0,81997,2649,27969,51379,2020-05-14T00:00:00Z
India,,,,,0,0,85784,2753,30258,52773,2020-05-15T00:00:00Z
India,,,,,0,0,90648,2871,34224,53553,2020-05-16T00:00:00Z
India,,,,,0,0,95698,3025,36795,55878,2020-05-17T00:00:00Z
India,,,,,0,0,100328,3156,39233,57939,2020-05-18T00:00:00Z
India,,,,,0,0,106475,3302,42309,60864,2020-05-19T00:00:00Z
India,,,,,0,0,112028,3434,45422,63172,2020-05-20T00:00:00Z
India,,,,,0,0,118226,3584,48553,66089,2020-05-21T00:00:00Z
India,,,,,0,0,124794,3726,51824,69244,2020-05-22T00:00:00Z
India,,,,,0,0,131423,3868,54385,73170,2020-05-23T00:00:00Z
India,,,,,0,0,138536,4024,57692,76820,2020-05-24T00:00:00Z
India,,,,,0,0,144950,4172,60706,80072,2020-05-25T00:00:00Z
India,,,,,0,0,150793,4344,64277,82172,2020-05-26T00:00:00Z
India,,,,,0,0,158086,4534,67749,85803,2020-05-27T00:00:00Z
India,,,,,0,0,165386,4711,70920,89755,2020-05-28T00:00:00Z
India,,,,,0,0,173491,4980,82627,85884,2020-05-29T00:00:00Z
India,,,,,0,0,181827,5185,86936,89706,2020-05-30T00:00:00Z
India,,,,,0,0,190609,5408,91852,93349,2020-05-31T00:00:00Z
India,,,,,0,0,198370,5608,95754,97008,2020-06-01T00:00:00Z
India,,,,,0,0,207191,5829,100285,101077,2020-06-02T00:00:00Z
India,,,,,0,0,216824,6088,104071,106665,2020-06-03T00:00:00Z
India,,,,,0,0,226713,6363,108450,111900,2020-06-04T00:00:00Z
India,,,,,0,0,236184,6649,113233,116302,2020-06-05T00:00:00Z
India,,,,,0,0,246622,6946,118695,120981,2020-06-06T00:00:00Z
India,,,,,0,0,257486,7207,123848,126431,2020-06-07T00:00:00Z
India,,,,,0,0,265928,7473,129095,129360,2020-06-08T00:00:00Z
India,,,,,0,0,276146,7750,134670,133726,2020-06-09T00:00:00Z
India,,,,,0,0,286605,8102,135206,143297,2020-06-10T00:00:00Z
India,,,,,0,0,297535,8498,147195,141842,2020-06-11T00:00:00Z
India,,,,,0,0,308993,8884,154330,145779,2020-06-12T00:00:00Z
India,,,,,0,0,320922,9195,162379,149348,2020-06-13T00:00:00Z
India,,,,,0,0,332424,9520,169798,153106,2020-06-14T00:00:00Z
India,,,,,0,0,343091,9900,180013,153178,2020-06-15T00:00:00Z
India,,,,,0,0,354065,11903,186935,155227,2020-06-16T00:00:00Z
India,,,,,0,0,366946,12237,194325,160384,2020-06-17T00:00:00Z
India,,,,,0,0,380532,12573,204711,163248,2020-06-18T00:00:00Z
India,,,,,0,0,395048,12948,213831,168269,2020-06-19T00:00:00Z
India,,,,,0,0,410451,13254,227728,169469,2020-06-20T00:00:00Z
India,,,,,0,0,425282,13699,237196,174387,2020-06-21T00:00:00Z
